file,avg_perplexity,avg_style,avg_consistency,avg_accuracy,avg_ethics,average_gpt_score,average_binomial_z_score
glo_gamma=0.5_delta=0.5_tend=5_sampled_100.json,9.400318155288696,8.46,8.76,7.66,8.91,8.4475,-0.47348198415254644
glo_gamma=0.5_delta=0.5_tend=80_sampled_100.json,10.213120703697205,8.44,8.86,7.51,8.77,8.395,0.5543752923269125
glo_gamma=0.5_delta=1_tend=10_sampled_100.json,10.58706665277481,8.53,8.99,7.67,8.9,8.5225,-0.20442997297722126
glo_gamma=0.5_delta=1_tend=160_sampled_100.json,10.815047159194947,8.43,8.71,7.42,8.55,8.2775,0.9229972753702093
glo_gamma=0.5_delta=1_tend=20_sampled_100.json,10.774137258529663,8.28,8.82,7.5,8.76,8.34,0.16810138426285637
glo_gamma=0.5_delta=1_tend=300_sampled_100.json,10.01397049665451,8.33,8.76,7.47,8.8,8.34,1.0924431433544104
glo_gamma=0.5_delta=1_tend=40_sampled_100.json,10.592549831867219,8.47,8.89,7.47,8.95,8.445,0.9481716434524406
glo_gamma=0.5_delta=1_tend=5_sampled_100.json,9.748646552562713,8.23,8.57,7.33,8.75,8.22,-0.38014167592198755
glo_gamma=0.5_delta=1_tend=80_sampled_100.json,12.229309029579163,8.44,8.79,7.51,8.82,8.39,1.094868263675923
glo_gamma=0.5_delta=2_tend=10_sampled_100.json,10.625471634864807,8.42,8.92,7.54,9.04,8.48,0.07461629679095144
glo_gamma=0.5_delta=2_tend=160_sampled_100.json,11.578708493709565,8.46,8.86,7.44,8.89,8.4125,1.7575338451057985
glo_gamma=0.5_delta=2_tend=20_sampled_100.json,11.290028502941132,8.54,8.82,7.43,8.71,8.375,0.5977083308895301
glo_gamma=0.5_delta=2_tend=300_sampled_100.json,11.434240992069244,8.51,8.98,7.49,8.82,8.45,1.8739740969934817
glo_gamma=0.5_delta=2_tend=40_sampled_100.json,11.312174098491669,8.35,8.65,7.33,8.92,8.3125,1.8359732950445746
glo_gamma=0.5_delta=2_tend=5_sampled_100.json,10.933079507350921,8.57,8.96,7.57,8.82,8.48,-0.31866863960226555
glo_gamma=0.5_delta=2_tend=80_sampled_100.json,10.844152188301086,8.44,8.91,7.6,9.06,8.5025,1.7877807394240943
glo_gamma=0.5_delta=4_tend=10_sampled_100.json,10.264340381622315,8.51,9.01,7.62,8.91,8.5125,0.26151886396786
glo_gamma=0.5_delta=4_tend=160_sampled_100.json,13.007783653736114,8.27,8.72,7.47,8.76,8.305,3.0173045681201955
glo_gamma=0.5_delta=4_tend=20_sampled_100.json,11.272911727428436,8.28,8.61,7.32,8.81,8.255,1.4280204636460225
glo_gamma=0.5_delta=4_tend=300_sampled_100.json,11.73250833749771,8.37,8.58,7.12,8.65,8.18,3.0496819754378337
glo_gamma=0.5_delta=4_tend=40_sampled_100.json,11.873110294342041,8.16,8.44,7.3,8.79,8.1725,3.1632504977196283
glo_gamma=0.5_delta=4_tend=5_sampled_100.json,9.677180817127228,8.55,8.93,7.4,8.58,8.365,-0.12059013508023605
glo_gamma=0.5_delta=4_tend=80_sampled_100.json,11.05813547849655,8.32,8.73,7.45,8.75,8.3125,3.3946727597971122
glo_gamma=0.5_delta=8_tend=10_sampled_100.json,10.686704156398774,8.4,8.69,7.5,8.95,8.385,0.8528007838252962
glo_gamma=0.5_delta=8_tend=160_sampled_100.json,12.394188199043274,7.78,8.02,6.84,8.6,7.81,5.719850936451133
glo_gamma=0.5_delta=8_tend=20_sampled_100.json,11.434710218906403,8.51,8.92,7.72,8.76,8.4775,2.896871939465713
glo_gamma=0.5_delta=8_tend=300_sampled_100.json,12.775775462388992,7.53,7.71,6.57,8.34,7.5375,5.539255135225189
glo_gamma=0.5_delta=8_tend=40_sampled_100.json,14.72981902718544,7.64,7.73,6.63,8.17,7.5425,5.6420120552144795
glo_gamma=0.5_delta=8_tend=5_sampled_100.json,10.576760396957397,8.45,8.86,7.4,8.76,8.3675,0.028607871944805057
glo_gamma=0.5_delta=8_tend=80_sampled_100.json,13.031122052669526,7.72,7.8,6.65,8.32,7.6225,5.598385644747548
glo_gamma=0.75_delta=0.5_tend=10_sampled_100.json,10.380561199188232,8.28,8.63,7.35,8.73,8.2475,-0.13861365623932526
glo_gamma=0.75_delta=0.5_tend=160_sampled_100.json,10.873913435935973,8.34,8.77,7.31,8.82,8.31,0.5061947022397846
glo_gamma=0.75_delta=0.5_tend=20_sampled_100.json,11.245727059841157,8.26,8.66,7.29,8.56,8.1925,0.0653942635557978
glo_gamma=0.75_delta=0.5_tend=300_sampled_100.json,10.084998381137847,8.26,8.56,7.33,8.9,8.2625,0.6188266669730833
glo_gamma=0.75_delta=0.5_tend=40_sampled_100.json,9.53262716770172,8.49,8.88,7.42,8.88,8.4175,0.5285592154191899
glo_gamma=0.75_delta=0.5_tend=5_sampled_100.json,9.95899320602417,8.35,8.59,7.32,8.75,8.2525,-0.38711929903633285
glo_gamma=0.75_delta=0.5_tend=80_sampled_100.json,10.382797310352325,8.46,8.9,7.4,8.82,8.395,0.5911845561480551
glo_gamma=0.75_delta=1_tend=10_sampled_100.json,10.031010541915894,8.16,8.61,7.44,8.82,8.2575,-0.08244632238514503
glo_gamma=0.75_delta=1_tend=160_sampled_100.json,10.722426569461822,8.24,8.63,7.4,8.64,8.2275,0.865694860988004
glo_gamma=0.75_delta=1_tend=20_sampled_100.json,10.646546041965484,8.42,8.74,7.32,8.62,8.275,0.33897820370734516
